id,rooms,address,price,lat,lon,canton
"240,3.5,""2616 Renan BE, Contact agency for the address"",760,47.1284162,6.9246656,berne"
"241,4.5,""Frinvillier, Rue du Canal 5"",1290,47.1682789,7.2533147,berne"
"242,3.5,""Hünibach, Rougemontweg 3"",1250,46.7456300,7.6422680,berne"
"243,2,""Bern, Nordring 53"",1450,46.9601014,7.4468952,berne"
"244,4.5,""Biel-Bienne, Mettstrasse 61"",1540,47.1407960,7.2650304,berne"
"245,2.5,""3780 Gstaad, Contact agency for the address"",N/A,46.4715542,7.2838280,berne"
"246,3,""St-Imier, Rue de Beau-Site 26"",995,47.1556233,7.0041539,berne"
"247,3.5,""Köniz, Landorfstrasse 44"",1720,46.9219068,7.4106626,berne"
"248,3.5,""Boll, Rämelgässli 94/96/98"",1650,46.9503531,7.5542358,berne"
"249,4.5,""Tramelan, Rue des Deutes 6a"",890,47.2266404,7.1077369,berne"
"250,4.5,""Orpund, Hauptstrasse 232"",1170,47.1402974,7.3144502,berne"
"251,2.5,""St-Imier, Rue du Vallon 24"",770,47.1509692,6.9973806,berne"
"252,3.5,""Biel-Bienne, Bözingenstrasse 141a"",1770,47.1524060,7.2751001,berne"
"253,1,""St-Imier, Rue Agassiz 1"",500,47.1534972,6.9973724,berne"
"254,4.5,""Alchenflüh, Franz-Schnyder-Weg 14"",1805,47.0821510,7.5830632,berne"
"255,4.5,""Bern, Aarbergergasse 40"",3150,46.9498340,7.4424300,berne"
"256,3.5,""Langenthal, Bäreggstr. Haus A 53"",1500,47.2109549,7.7927965,berne"
"257,2.5,""Biel-Bienne, Faubourg du Lac 66"",885,47.1396208,7.2433434,berne"
"258,4.5,""Schliern b. Köniz, Schaufelweg 98"",1800,46.9098187,7.4131818,berne"
"259,2,""Frutigen, Untere Bahnhofstr. 16"",1350,46.5891177,7.6513455,berne"
"260,4.5,""Tavannes, Grand-Rue 5"",940,47.2203389,7.1995247,berne"
"261,5.5,""3312 Fraubrunnen, Contact agency for the address"",1600,47.0876490,7.5294607,berne"
"262,3.5,""Niederwangen b. Bern, Bodelenweg 101"",1680,46.9275445,7.3700011,berne"
"263,3.5,""Biel-Bienne, Jakob-Stämpfli-Strasse 132"",1069,47.1469887,7.2660077,berne"
"264,3,""3780 Gstaad, Contact agency for the address"",N/A,46.4689101,7.2886455,berne"
"265,3.5,""2735 Bévilard, Contact agency for the address"",970,47.2364149,7.2903215,berne"
"266,3.5,""St-Imier, Rue du Midi 25"",990,47.1527051,7.0010526,berne"
"267,1.5,""Ittigen, Gartenstrasse 2"",980,46.9750850,7.4762050,berne"
"268,3.5,""Jegenstorf, Sägetstr. 41"",1460,47.0495681,7.5027281,berne"
"269,4.5,""Langnau im Emmental, Zürchermatte BE 153'040 10"",1725,46.9438592,7.7740102,berne"
"270,4.5,""Moutier, Prévôté 1"",1150,47.2790826,7.3714468,berne"
"271,4,""3780 Gstaad, Contact agency for the address"",N/A,46.4723756,7.2930933,berne"
"272,4.5,""3068 Utzigen, Contact agency for the address"",1800,46.9645098,7.5651141,berne"
"273,4.5,""Bremgarten b. Bern, Ländlistrasse 12"",1240,46.9708738,7.4363166,berne"
"274,2,""Biel-Bienne, Mattenstrasse 1"",960,47.1328803,7.2468819,berne"
"275,4.5,""Bern, Sulgenbachstr. 20"",2230,46.9412572,7.4331978,berne"
"276,3.5,""3422 Alchenflüh, Contact agency for the address"",1600,47.0838471,7.5765695,berne"
"277,3.5,""Ostermundigen, Unterdorfstrasse 19"",1430,46.9604591,7.4915280,berne"
"278,3,""Steffisburg, Mittelstr. 12"",1200,46.7639539,7.6212242,berne"
"279,5.5,""3086 Zimmerwald, Contact agency for the address"",2650,46.8807824,7.4638727,berne"
"280,4.5,""3550 Langnau im Emmental, Contact agency for the address"",1550,46.9363082,7.7881767,berne"
"281,4.5,""Langenthal, Bahnhofstrasse 36"",1500,47.2147960,7.7862100,berne"
"282,5.5,""Belp, Hühnerhubelstrasse 13"",1670,46.9001305,7.4982505,berne"
"283,3.5,""Biel-Bienne, Waffengasse 4"",1350,47.1352714,7.2437384,berne"
"284,2.5,""Pieterlen, Brühlweg 11"",1190,47.1722898,7.3353756,berne"
"285,1.5,""3264 Diessbach b. Büren, Contact agency for the address"",695,47.1079464,7.3626011,berne"
"286,N/A,""3780 Gstaad, Contact agency for the address"",N/A,46.4681458,7.2868043,berne"
"287,2.5,""Tramelan, Rue de la Gare 28"",1140,47.2232133,7.1046323,berne"
